Title,Authors,Year,Journal,DOI,Volume,Issue,Pages,Country,Publication_Type,Has_Abstract
"Sharing patient technology preferences with care networks: Stakeholders' views of the ""Let's Talk Tech"" decision aid for dementia care.","Berridge, Clara; Turner, Natalie R; Lober, William B; Demiris, George; Kaye, Jeffrey",2025.0,Journal of Alzheimer's disease : JAD,https://dx.doi.org/10.1177/13872877251332659,,9814863,13872877251332659,United States,JOUR,True
Is there any room for ChatGPT AI bot in speech-language pathology?.,"Birol, Namik Yucel; Ciftci, Hilal Berber; Yilmaz, Aysegul; Caglayan, Ayhan; Alkan, Ferhat",2025.0,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,https://dx.doi.org/10.1007/s00405-025-09295-y,,"anb, 9002937",,Germany,JOUR,True
Exploring the use of digital media to support meaningful activities for people living with dementia: A qualitative study.,"Ramalhete, Mariana; Branco, Rita Maldonado; Teles, Soraia; Tymoshchuk, Oksana; Oliveira, Rita; Quental, Joana; Ribeiro, Oscar",2025.0,"Dementia (London, England)",https://dx.doi.org/10.1177/14713012251330689,,101128698,14713012251330689,England,JOUR,True
Dementia-related needs through the lens of social robotics: a scoping review protocol.,"Zafer, Berk; Carragher, Lucia; Share, Perry; Ward, Jamie; Brady, Frank",2025.0,Disability and rehabilitation. Assistive technology,https://dx.doi.org/10.1080/17483107.2025.2471483,,101255937,1,England,JOUR,True
Designing user-centered policy for social robotics: policy analysis and consultation with the aging and dementia community.,"Dosso, Jill A; Martin, Susanna E; Ye, Haiger; Guerra, Gabriella K; Riminchan, Anna; Robillard, Julie M",2025.0,Disability and rehabilitation. Assistive technology,https://dx.doi.org/10.1080/17483107.2025.2471050,,101255937,1,England,JOUR,True
'It's Too nice': Adapting iSupport Lite for Ethnically Diverse Family Carers of a Person with Dementia.,"Dang, Thu Ha; Thodis, Antonia; Ulapane, Nalika; Antoniades, Josefine; Gurgone, Mary; Nguyen, Tuan; Gilbert, Andrew; Wickramasinghe, Nilmini; Varghese, Mathew; Loganathan, Santosh; Enticott, Joanne; Mortimer, Duncan; Dow, Briony; Cooper, Claudia; Xiao, Lily Dongxia; Brijnath, Bianca",2023.0,Clinical gerontologist,https://dx.doi.org/10.1080/07317115.2023.2254296,,"8300869, cli",1,United States,JOUR,True
The Impact of Socially Assistive Robots on Human Flourishing in the Context of Dementia: A Scoping Review.,"Fardeau, Erika; Senghor, Abdou Simon; Racine, Eric",2023.0,International journal of social robotics,https://dx.doi.org/10.1007/s12369-023-00980-8,,101622429,1,Netherlands,JOUR,True
Digital Intervention For The Management Of Alzheimer's Disease.,"Manchanda, Namish; Aggarwal, Akanksha; Setya, Sonal; Talegaonkar, Sushama",2023.0,Current Alzheimer research,https://dx.doi.org/10.2174/1567205020666230206124155,,101208441,,United Arab Emirates,JOUR,True
Technologies to Increase Freedom for People Living With Dementia: CADTH Horizon Scan,"Clark, Michelle; Mierzwinski-Urban, Monika; Mason, Jeff; Hao, Qiukui",2023.0,,,,,,,JOUR,True
Ethical considerations in the use of social robots for supporting mental health and wellbeing in older adults in long-term care.,"Hung, Lillian; Zhao, Yong; Alfares, Hadil; Shafiekhani, Parsa",2025.0,Frontiers in robotics and AI,https://dx.doi.org/10.3389/frobt.2025.1560214,12,101749350,1560214,Switzerland,JOUR,True
Digital tool as speech and language therapy for patients with post-stroke aphasia.,"Ruiz Ares, Gerardo; Martin Alonso, Marta; Rigual, Ricardo; Hervas Testal, Carlos; Torres Iglesias, Gabriel; Casado Fernandez, Laura; de Celis Ruiz, Elena; Rodriguez Pardo, Jorge; Carvajal Munoz, Jenny; Gonzalez Martin, Laura; Alonso de Lecinana, Maria; Fuentes, Blanca",2025.0,Digital health,https://dx.doi.org/10.1177/20552076251314551,11,101690863,20552076251314551,United States,JOUR,True
Facilitators and barriers to using telepresence robots in aged care settings: A scoping review.,"Hung, Lillian; Wong, Joey; Smith, Chelsea; Berndt, Annette; Gregorio, Mario; Horne, Neil; Jackson, Lynn; Mann, Jim; Wada, Mineko; Young, Erika",2022.0,Journal of rehabilitation and assistive technologies engineering,https://dx.doi.org/10.1177/20556683211072385,9,101671667,20556683211072385,England,JOUR,True
Virtual reality to promote wellbeing in persons with dementia: A scoping review.,"Appel, Lora; Ali, Suad; Narag, Tanya; Mozeson, Krystyna; Pasat, Zain; Orchanian-Cheff, Ani; Campos, Jennifer L",2021.0,Journal of rehabilitation and assistive technologies engineering,https://dx.doi.org/10.1177/20556683211053952,8,101671667,20556683211053952,England,JOUR,True
Impacts of Low-cost Robotic Pets for Older Adults and People With Dementia: Scoping Review.,"Koh, Wei Qi; Ang, Faith Xin Hui; Casey, Dympna",2021.0,JMIR rehabilitation and assistive technologies,https://dx.doi.org/10.2196/25340,8,1,e25340,Canada,JOUR,True
Use of Digital Health Technologies for Dementia Care: Bibliometric Analysis and Report.,"Abdulazeem, Hebatullah; Borges do Nascimento, Israel Junior; Weerasekara, Ishanka; Sharifan, Amin; Grandi Bianco, Victor; Cunningham, Ciara; Kularathne, Indunil; Deeken, Genevieve; de Barros, Jerome; Sathian, Brijesh; Ostengaard, Lasse; Lamontagne-Godwin, Frederique; van Hoof, Joost; Lazeri, Ledia; Redlich, Cassie; Marston, Hannah R; Dos Santos, Ryan Alistair; Azzopardi-Muscat, Natasha; Yon, Yongjie; Novillo-Ortiz, David",2025.0,JMIR mental health,https://dx.doi.org/10.2196/64445,12,101658926,e64445,Canada,JOUR,True
"""Tom and Pepper Lab"". Robotics for cognitive stimulation and social skills: A preliminary study.","Figliano, G; Miraglia, L; Manzi, F; Ruggerone, L; Nazzario, M; Borgini, I; Donini, M; Martellosio, V; Di Dio, C; Marchetti, A; Massaro, D",2025.0,Asian journal of psychiatry,https://dx.doi.org/10.1016/j.ajp.2025.104375,104,101517820,104375,Netherlands,JOUR,True
Social robot PIO intervention for improving cognitive function and depression in older adults with mild to moderate dementia in day care centers: A randomized controlled trial.,"Lim, Jun-Seo; Oh, Hye-Kyung",2025.0,PloS one,https://dx.doi.org/10.1371/journal.pone.0321745,20,4,e0321745,United States,JOUR,True
Examining the availability of information on welfare technologies for people living with dementia in Sweden - a scoping review.,"Tsertsidis, Antonios; Rapado, Irene",2025.0,Disability and rehabilitation. Assistive technology,https://dx.doi.org/10.1080/17483107.2024.2392856,20,2,257,England,JOUR,True
Community-Based Virtual Reality Interventions in Older Adults with Dementia and/or Cognitive Impairment: A Systematic Review.,"Stavropoulou, Iliana; Sakellari, Evanthia; Barbouni, Anastasia; Notara, Venetia",2025.0,Experimental aging research,https://dx.doi.org/10.1080/0361073X.2024.2377438,51,2,162,United States,JOUR,True
Talk with Ted: An embodied conversational agent for caregivers.,"Curumsing, Maheswaree K; Rivera Villicana, Jessica; Vouliotis, Andrew; Burns, Kelly; Babaei, Mahdi; Petrovich, Tanya; Mouzakis, Kon; Vasa, Rajesh",2025.0,Gerontology & geriatrics education,https://dx.doi.org/10.1080/02701960.2024.2302584,46,2,186,England,JOUR,True
"""I forgot she used to make chocolate cake"": Digital storytelling supporting person-focussed dementia care: A qualitative thematic analysis.","Munk, Stephanie; Toohey, Rhiannon; Remtilla, Aliaa; D'Cunha, Nathan M; Gibson, Diane; Isbel, Stephen; Smyth, Aisling; Bail, Kasia",2025.0,"Dementia (London, England)",https://dx.doi.org/10.1177/14713012251317761,24,4,666,England,JOUR,True
Applying Data Mining to Predict Perceived Benefits Risks of Robotics at Home for Dementia Caregiving Among African American Families.,"Yoon, Sunmoo; Sun, Frederick; Patterson, Melissa; Crupi, Robert; Broadwell, Peter; Pottinger, Tess; Kim, Milea; Davis, Nicole",2025.0,Studies in health technology and informatics,https://dx.doi.org/10.3233/SHTI250049,323,"ck1, 9214582",61,Netherlands,JOUR,True
"Between empowerment, patronization, and surveillance. A semi-structured interview study with persons with dementia and family caregivers on the empowering opportunities and perils of intelligent assistive technologies.","Lobe, Clara; Petersen, Niklas",2025.0,BMC medical ethics,https://dx.doi.org/10.1186/s12910-025-01203-7,26,1,44,England,JOUR,True
"Testing 3 Modalities (Voice Assistant, Chatbot, and Mobile App) to Assist Older African American and Black Adults in Seeking Information on Alzheimer Disease and Related Dementias: Wizard of Oz Usability Study.","Bosco, Cristina; Shojaei, Fereshtehossadat; Theisz, Alec Andrew; Osorio Torres, John; Cureton, Bianca; Himes, Anna K; Jessup, Nenette M; Barnes, Priscilla A; Lu, Yvonne; Hendrie, Hugh C; Hill, Carl V; Shih, Patrick C",2024.0,JMIR formative research,https://dx.doi.org/10.2196/60650,8,101726394,e60650,Canada,JOUR,True
Evaluating the User Experience and Usability of the MINI Robot for Elderly Adults with Mild Dementia and Mild Cognitive Impairment: Insights and Recommendations.,"Mahmoudi Asl, Aysan; Toribio-Guzman, Jose Miguel; Castro-Gonzalez, Alvaro; Malfaz, Maria; Salichs, Miguel A; Franco Martin, Manuel",2024.0,"Sensors (Basel, Switzerland)",https://dx.doi.org/10.3390/s24227180,24,22,,Switzerland,JOUR,True
